Week start ,Juliandate,Species ,Route ,ASR 
22/04/2019,19112,WF,1,0.428571429
22/04/2019,19112,MP,1,0.333333333
22/04/2019,19112,KP,1,0.333333333
06/05/2019,19126,WF,1,0.5
06/05/2019,19126,MP,1,0
06/05/2019,19126,KP,1,0.75
20/05/2019,19140,WF,1,0.333333333
20/05/2019,19140,MP,1,0.666666667
20/05/2019,19140,KP,1,0.5
10/06/2019,19161,WF,1,0.75
10/06/2019,19161,MP,1,0.5
10/06/2019,19161,KP,1,0.5
22/04/2019,19112,WF,2,0.666666667
22/04/2019,19112,MP,2,0
22/04/2019,19112,KP,2,
06/05/2019,19126,WF,2,0.714285714
06/05/2019,19126,MP,2,
06/05/2019,19126,KP,2,
20/05/2019,19140,WF,2,1
20/05/2019,19140,MP,2,0.5
20/05/2019,19140,KP,2,0.5
10/06/2019,19161,WF,2,0.5
10/06/2019,19161,MP,2,
10/06/2019,19161,KP,2,
22/04/2019,19112,WF,3,0.2
22/04/2019,19112,MP,3,0.4
22/04/2019,19112,KP,3,0.666666667
06/05/2019,19126,WF,3,0.333333333
06/05/2019,19126,MP,3,0.75
06/05/2019,19126,KP,3,1
20/05/2019,19140,WF,3,1
20/05/2019,19140,MP,3,0.4
20/05/2019,19140,KP,3,1
10/06/2019,19161,WF,3,0.333333333
10/06/2019,19161,MP,3,0.5
10/06/2019,19161,KP,3,0.428571429
22/04/2019,19112,WF,4,
22/04/2019,19112,MP,4,0.333333333
22/04/2019,19112,KP,4,1
06/05/2019,19126,WF,4,
06/05/2019,19126,MP,4,0.5
06/05/2019,19126,KP,4,0
20/05/2019,19140,WF,4,
20/05/2019,19140,MP,4,0.5
20/05/2019,19140,KP,4,1
10/06/2019,19161,WF,4,
10/06/2019,19161,MP,4,0.333333333
10/06/2019,19161,KP,4,0.5
22/04/2019,19112,WF,5,
22/04/2019,19112,MP,5,1
22/04/2019,19112,KP,5,
06/05/2019,19126,WF,5,
06/05/2019,19126,MP,5,1
06/05/2019,19126,KP,5,
20/05/2019,19140,WF,5,
20/05/2019,19140,MP,5,0.5
20/05/2019,19140,KP,5,0
10/06/2019,19161,WF,5,1
10/06/2019,19161,MP,5,0.5
10/06/2019,19161,KP,5,
22/04/2019,19112,WF,6,0
22/04/2019,19112,MP,6,
22/04/2019,19112,KP,6,
06/05/2019,19126,WF,6,0.333333333
06/05/2019,19126,MP,6,
06/05/2019,19126,KP,6,
20/05/2019,19140,WF,6,0
20/05/2019,19140,MP,6,
20/05/2019,19140,KP,6,
10/06/2019,19161,WF,6,0.5
10/06/2019,19161,MP,6,
10/06/2019,19161,KP,6,
